Record_#,Drug_Name,DrugBank_ID,Molecular_Weight,LogP,Hydrogen_Bond_Donors,Hydrogen_Bond_Acceptors,TPSA,Rotatable_Bonds,Drug_Class,Target_Protein_UniProt,Current_Use,Repurposed_Use,Repurposed_Category
1,Abacavir,DB01048,286.34,1.09,3,6,101.88,4,Anti-HIV Agents,,HIV Infections,breast cancer,Cancer
2,Abiraterone,DB05812,349.52,5.4,1,2,33.12,1,,P05093,Malignant neoplasm of prostate,,Others
3,Acamprosate,DB00659,181.21,-0.6,2,3,83.47,4,Alcohol Deterrents,P41594,"Alcoholic Intoxication, Chronic",,Others
4,Acarbose,DB00284,645.61,-8.56,14,19,321.17,9,,O43451; P04746; P10253; P14410,"Diabetes Mellitus, Non-Insulin-Dependent",,Others
5,Acebutolol,DB01193,336.43,2.37,3,5,87.66,10,Antihypertensive Agents,P07550; P08588,Hypertensive disease,premature ventricular contractions,Others
6,Aceprometazine,DB01615,326.47,4.44,0,4,23.55,4,Hypnotics and Sedatives,P35367,Sleeplessness,,Others
7,Acetaminophen,DB00316,151.16,1.35,2,2,49.33,1,"Analgesics, Non-Narcotic",P23219; P35354,Allergic rhinitis (disorder),arthralgia; arthritic pains; back pain; common cold; fever; headache disorders; influenza-like symptoms; migraine disorders; pain; sinus headache; tension headache; toothache,Pain
8,Acetazolamide,DB00819,222.25,-0.86,2,6,115.04,2,Diuretics,P00915; P00918; P07451; P22748; P29972; P43166; Q9ULX7,Absence Epilepsy,"altitude sickness; angle closure glaucoma; edema; glaucoma, open-angle; malignant glaucoma; peripheral edema; secondary glaucoma",Eye
9,Acetohydroxamic Acid,DB00551,75.07,-0.49,2,2,49.33,0,Enzyme Inhibitors,P39900,Urinary tract infection,,Others
10,Acetophenazine,DB01063,411.57,3.49,1,6,47.02,7,Antipsychotic Agents,P14416; P21728,Psychotic Disorders,,Others
11,Acetylcysteine,DB06151,163.2,-0.49,3,3,66.4,3,Antiviral Agents,O14920; O15111; O15399; P48637; Q03154; Q05586; Q12879; Q13224; Q8TCU5; Q9UPY5,Amyloidosis,bronchiectasis; bronchitis; poisoning by acetaminophen; pulmonary cystic fibrosis,Respiratory
12,Acetylsalicylic acid,DB00945,180.16,1.31,1,3,63.6,2,Fibrinolytic Agents,O14920; P04637; P11021; P23219; P25101; P25963; P35354; P51812; Q04828,Arthralgia,arthritic pains; back pain; common cold; degenerative polyarthritis; headache disorders; influenza-like symptoms; migraine disorders; myocardial infarction; pain; rheumatoid arthritis; sinus headache; toothache,Heart
13,Aciclovir,DB00787,225.21,-1.33,3,6,119.05,4,Antiviral Agents,P03176; P04293,Chickenpox,genital herpes; herpes labialis; herpes simplex infections; herpes encephalitis; herpes simplex infection of skin; herpes zoster disease; recurrent genital herpes simplex; recurrent herpes simplex labialis,Infection
14,Acitretin,DB00459,326.44,5.17,1,2,46.53,6,Keratolytic Agents,P09455; P10276; P10826; P13631; P19793; P28702; P48443,Psoriasis,,Others
