Feature,Importance
categorical__Current_Use_Allergic Conjunctivitis,0.47569562092323964
categorical__Drug_Class_Anti-Bacterial Agents,0.4396090204984747
categorical__Current_Use_Allergic rhinitis (disorder),0.41880794674515565
numeric__Hydrogen_Bond_Acceptors,0.3925650577135176
categorical__Drug_Class_Antihypertensive Agents,0.38195262613424097
categorical__Current_Use_Acne Vulgaris,0.3741005062574432
categorical__Target_Protein_UniProt_P04150,0.35507522980213435
numeric__TPSA,0.34331246526947123
numeric__Hydrogen_Bond_Donors,0.33749291718240604
categorical__Current_Use_Hypertensive disease,0.3198815874890107
categorical__Drug_Class_Bone Density Conservation Agents,0.3188758192131912
numeric__LogP,0.3183363501099071
categorical__Current_Use_Chronic small plaque psoriasis,0.3170817673519627
categorical__Target_Protein_UniProt_P23219; P35354,0.30411499318116986
"categorical__Drug_Class_Anti-Inflammatory Agents, Non-Steroidal",0.2990777045951055
categorical__Drug_Class_Antineoplastic Agents,0.2888221617540736
categorical__Current_Use_Asthma,0.28642289323258335
categorical__Drug_Class_Anti-Infective Agents,0.27952572588420666
categorical__Drug_Class_Antirheumatic Agents,0.2759194870090434
numeric__Rotatable_Bonds,0.27257286568645117
categorical__Current_Use_Allergic asthma,0.2677468215663712
categorical__Drug_Class_Antipsychotic Agents,0.26546747350768696
categorical__Drug_Class_Anticonvulsants,0.2552200200764485
categorical__Current_Use_Abdominal Abscess,0.2551592182412983
categorical__Current_Use_Acute Moraxella catarrhalis bronchitis,0.2548365420013379
"categorical__Current_Use_Glaucoma, Open-Angle",0.25453964791258243
numeric__Molecular_Weight,0.25219363872299544
categorical__Current_Use_Diarrhoea predominant irritable bowel syndrome,0.24999098775477954
categorical__Target_Protein_UniProt_P11388; P43700; P43702,0.24861198910930077
categorical__Drug_Class_Anti-Inflammatory Agents,0.24395302869056407
categorical__Drug_Class_Muscarinic Antagonists,0.23170411968562168
"categorical__Drug_Class_Antineoplastic Agents, Hormonal",0.23042086830344322
categorical__Drug_Class_Sympathomimetics,0.22801972161202796
"categorical__Current_Use_Diabetes Mellitus, Non-Insulin-Dependent",0.22758844645056597
categorical__Current_Use_Acquired thrombocytopenia,0.22490945431857307
categorical__Drug_Class_Antiviral Agents,0.22315672766408276
"categorical__Drug_Class_Antineoplastic Agents, Alkylating",0.22200946708410632
categorical__Current_Use_HIV Infections,0.2171748702427209
categorical__Drug_Class_Diuretics,0.2157113502243911
categorical__Drug_Class_Penicillins,0.21424283826404672
categorical__Drug_Class_Antiparkinson Agents,0.2134499196279
categorical__Drug_Class_Anti-Anxiety Agents,0.21327132560443324
categorical__Current_Use_Acute tuberculosis,0.21313279332267782
categorical__Drug_Class_Anti-Arrhythmia Agents,0.21257299887513312
categorical__Current_Use_Acute otitis media,0.2086638868468728
"categorical__Drug_Class_Analgesics, Opioid",0.20194040685351458
categorical__Target_Protein_UniProt_P35367,0.20093757821421895
categorical__Target_Protein_UniProt_P08172; P11229; P20309,0.19709376101341797
categorical__Current_Use_Arthropathy associated with infection,0.19708868940733582
categorical__Drug_Class_Enzyme Inhibitors,0.19446923925918114
categorical__Drug_Class_Vitamin B Complex,0.1903750290256867
categorical__Current_Use_Parkinson Disease,0.1882949184656531
categorical__Target_Protein_UniProt_P0A3M6; Q75Y35; Q7CRA4; Q8DNB6; Q8DR59,0.18494894989472593
"categorical__Drug_Class_Anesthetics, Local",0.18455719482754537
categorical__Current_Use_Absence Epilepsy,0.1843503503195414
categorical__Current_Use_Degenerative polyarthritis,0.18107132702555456
categorical__Current_Use_Cluster Headache,0.18004654901872888
categorical__Current_Use_Acute exacerbation of chronic bronchitis,0.17803497098072302
categorical__Target_Protein_UniProt_P07550; P08588,0.1779022861574778
categorical__Current_Use_Bladder muscle dysfunction - overactive,0.17747191120525402
categorical__Current_Use_Duodenal Ulcer,0.17689073292887791
categorical__Drug_Class_Antifungal Agents,0.17450415580933282
categorical__Current_Use_Acute postoperative pain,0.17409872255910525
categorical__Target_Protein_UniProt_P10275,0.1736233629905332
categorical__Drug_Class_Vasoconstrictor Agents,0.1682651564725916
categorical__Current_Use_Arteriosclerosis,0.16808371751444498
categorical__Target_Protein_UniProt_P35372; P41143; P41145,0.16779467529004702
categorical__Drug_Class_Dietary Supplements,0.16689491755795907
categorical__Drug_Class_Hypnotics and Sedatives,0.16677269710014686
categorical__Current_Use_Edema,0.16574679916955387
categorical__Drug_Class_Antitubercular Agents,0.165631160121972
categorical__Current_Use_Acute gonococcal cervicitis,0.16237918634135234
categorical__Current_Use_Chronic Lymphocytic Leukemia,0.16158135689281652
categorical__Current_Use_Escherichia coli urinary tract infection,0.16116465275796762
categorical__Drug_Class_Anti-Allergic Agents,0.16096051525485716
categorical__Current_Use_Intraabdominal Infections,0.15936207113647466
categorical__Drug_Class_Anti-HIV Agents,0.15910027327280699
categorical__Target_Protein_UniProt_P30536,0.15805187239074295
"categorical__Current_Use_Bipolar affective disorder, current episode manic",0.15512523847772824
categorical__Current_Use_Chronic heart failure,0.15484312097033395
categorical__Drug_Class_Gastrointestinal Agents,0.15420410205749369
categorical__Current_Use_Epilepsy,0.1541158319482449
categorical__Target_Protein_UniProt_P20648,0.15275645832286203
categorical__Target_Protein_UniProt_P12821,0.1507803233785006
categorical__Current_Use_Sleeplessness,0.14921837583986436
categorical__Target_Protein_UniProt_P35368; Q01959,0.1451420776696428
"categorical__Current_Use_Epilepsies, Myoclonic",0.1437993365672628
categorical__Current_Use_Chemotherapy-induced nausea and vomiting,0.14352225293146362
categorical__Drug_Class_Anti-Asthmatic Agents,0.1394645447671734
categorical__Current_Use_Acromegaly,0.13861673824416804
categorical__Current_Use_Angina Pectoris,0.13852238586212517
categorical__Drug_Class_Angiotensin-Converting Enzyme Inhibitors,0.13832493540082685
categorical__Target_Protein_UniProt_P25100; P35348; P35368,0.1383070289986187
categorical__Current_Use_Pain,0.1378535942476613
categorical__Drug_Class_Anticholesteremic Agents,0.1378257830645119
categorical__Target_Protein_UniProt_P11473,0.13700262406741506
categorical__Current_Use_Amyloidosis,0.13694183383285938
"categorical__Current_Use_Arthritis, Psoriatic",0.13636224613312414
categorical__Current_Use_Cryptorchidism,0.1353548010086149
