Feature,Importance
numeric__LogP,0.055491972164774674
numeric__Molecular_Weight,0.05406601672379786
numeric__TPSA,0.049400788650930796
numeric__Rotatable_Bonds,0.03956569989584315
numeric__Hydrogen_Bond_Acceptors,0.035131292321719784
numeric__Hydrogen_Bond_Donors,0.029701051340926966
categorical__Target_Protein_UniProt_P04150,0.01230583124988075
categorical__Drug_Class_Anti-Bacterial Agents,0.011981028480435089
categorical__Current_Use_Abdominal Abscess,0.011504982263190364
categorical__Current_Use_Allergic rhinitis (disorder),0.011261420837007171
categorical__Current_Use_Chronic small plaque psoriasis,0.011104357027851956
categorical__Drug_Class_Anticonvulsants,0.00828220904347256
categorical__Current_Use_Acute tuberculosis,0.008230345250543291
categorical__Current_Use_Allergic Conjunctivitis,0.00819011138047266
categorical__Current_Use_Asthma,0.007541225212353441
categorical__Drug_Class_Antihypertensive Agents,0.007425737820029968
categorical__Current_Use_Arthropathy associated with infection,0.006558611903662532
categorical__Current_Use_Degenerative polyarthritis,0.006315074937270783
categorical__Target_Protein_UniProt_P23219; P35354,0.006210942284723077
"categorical__Current_Use_Glaucoma, Open-Angle",0.006168857928674775
"categorical__Drug_Class_Anti-Inflammatory Agents, Non-Steroidal",0.005643725521855257
categorical__Drug_Class_Anti-Infective Agents,0.005367814572311125
"categorical__Drug_Class_Analgesics, Opioid",0.005347683254522868
categorical__Current_Use_Acne Vulgaris,0.005290015004539939
categorical__Current_Use_Hypertensive disease,0.0050442620691326535
categorical__Current_Use_Allergic asthma,0.0047288271919927885
categorical__Current_Use_Diarrhoea predominant irritable bowel syndrome,0.004714724526881597
"categorical__Drug_Class_Antineoplastic Agents, Alkylating",0.0046771491241173755
categorical__Target_Protein_UniProt_P11388; P43700; P43702,0.004570774843926137
categorical__Drug_Class_Antitubercular Agents,0.004409635751269396
categorical__Drug_Class_Anti-Inflammatory Agents,0.004398472106488142
categorical__Target_Protein_UniProt_P35372; P41143; P41145,0.0040421039331964255
categorical__Target_Protein_UniProt_P20648,0.004012480972754664
categorical__Current_Use_Acquired thrombocytopenia,0.003944355367264552
categorical__Current_Use_Arteriosclerosis,0.0038514227438255716
categorical__Target_Protein_UniProt_P07550; P08588,0.0038146189424760665
categorical__Current_Use_Acute Moraxella catarrhalis bronchitis,0.0038004774568805885
"categorical__Drug_Class_Anesthetics, Local",0.003770535468910049
categorical__Drug_Class_Antirheumatic Agents,0.003666224289580786
categorical__Current_Use_Duodenal Ulcer,0.0036161456241205108
categorical__Current_Use_Chronic Lymphocytic Leukemia,0.0033891538155153976
categorical__Drug_Class_Antiparkinson Agents,0.0033658071038615584
categorical__Drug_Class_Bone Density Conservation Agents,0.0032922020410561643
categorical__Current_Use_Blast Phase,0.003073466994637982
"categorical__Drug_Class_Antineoplastic Agents, Hormonal",0.003046853132773388
"categorical__Current_Use_Bipolar affective disorder, current episode manic",0.0030240282526559467
categorical__Current_Use_Cluster Headache,0.0030180321482284746
categorical__Current_Use_Cryptorchidism,0.0029749139101629715
categorical__Current_Use_Chronic heart failure,0.0029365429271628876
