,Arthritis,Blood,Bone,Brain,Cancer,Ear/Nose/Throat,Eye,Heart,Infection,Kidney,Mental Health,Metabolic,Others,Pain,Rare,Reproductive,Respiratory,Skin,Stomach,Urinary
Arthritis,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Blood,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bone,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brain,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
Cancer,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Ear/Nose/Throat,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0
Eye,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Heart,0,0,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0
Infection,0,0,0,0,1,2,0,0,7,0,0,0,6,0,0,0,0,0,0,2
Kidney,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Mental Health,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
Metabolic,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Others,1,0,0,0,5,1,0,2,1,0,0,0,65,0,0,0,1,0,1,0
Pain,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0
Rare,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Reproductive,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Respiratory,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,0,0
Skin,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0
Stomach,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
Urinary,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
