,precision,recall,f1-score,support
Arthritis,0.6,0.6,0.6,5.0
Blood,0.0,0.0,0.0,1.0
Bone,0.2,1.0,0.3333333333333333,1.0
Brain,1.0,0.16666666666666666,0.2857142857142857,6.0
Cancer,0.4,0.25,0.3076923076923077,16.0
Ear/Nose/Throat,0.25,0.2,0.2222222222222222,5.0
Eye,0.0,0.0,0.0,2.0
Heart,0.6666666666666666,0.5,0.5714285714285714,12.0
Infection,0.6428571428571429,0.5,0.5625,18.0
Kidney,0.0,0.0,0.0,4.0
Mental Health,0.0,0.0,0.0,5.0
Metabolic,0.0,0.0,0.0,4.0
Others,0.5079365079365079,0.8311688311688312,0.6305418719211823,77.0
Pain,1.0,0.6666666666666666,0.8,6.0
Rare,0.0,0.0,0.0,2.0
Reproductive,0.0,0.0,0.0,2.0
Respiratory,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
Skin,0.6,0.375,0.46153846153846156,8.0
Stomach,0.3333333333333333,0.14285714285714285,0.2,7.0
Urinary,0.0,0.0,0.0,3.0
accuracy,0.5233160621761658,0.5233160621761658,0.5233160621761658,0.5233160621761658
macro avg,0.34337301587301583,0.2838401875901876,0.2754152193591849,193.0
weighted avg,0.4904967513775803,0.5233160621761658,0.4730983511356926,193.0
