Feature,Importance
categorical__Current_Use_Arthropathy associated with infection,0.022427117
categorical__Current_Use_Abdominal Abscess,0.021753808
categorical__Drug_Class_Anticonvulsants,0.019852748
categorical__Current_Use_Acute tuberculosis,0.017123444
"categorical__Drug_Class_Anti-Inflammatory Agents, Non-Steroidal",0.016560204
"categorical__Drug_Class_Analgesics, Opioid",0.016318351
categorical__Current_Use_Chronic small plaque psoriasis,0.015494009
categorical__Current_Use_Degenerative polyarthritis,0.015308269
categorical__Target_Protein_UniProt_P07550; P08588,0.015240231
categorical__Drug_Class_Serotonin Antagonists,0.015152921
categorical__Target_Protein_UniProt_P07550,0.014912091
categorical__Current_Use_Duodenal Ulcer,0.014487934
categorical__Current_Use_Asthma,0.01395136
categorical__Current_Use_Arteriosclerosis,0.013830812
categorical__Target_Protein_UniProt_Q14524,0.013523487
categorical__Current_Use_Allergic rhinitis (disorder),0.013428048
"categorical__Current_Use_Glaucoma, Open-Angle",0.012348787
categorical__Drug_Class_Antipsychotic Agents,0.012107931
categorical__Drug_Class_Angiotensin-Converting Enzyme Inhibitors,0.0118431635
categorical__Drug_Class_Antihypertensive Agents,0.011823493
"categorical__Drug_Class_Antineoplastic Agents, Alkylating",0.011732063
categorical__Current_Use_Hypertensive disease,0.011399403
categorical__Current_Use_Pruritus,0.011338944
categorical__Target_Protein_UniProt_P12821,0.011198552
categorical__Target_Protein_UniProt_P23219; P35354,0.010895003
categorical__Drug_Class_Immunosuppressive Agents,0.010614893
categorical__Drug_Class_Antiparkinson Agents,0.010399555
categorical__Current_Use_Sleeplessness,0.009955676
categorical__Drug_Class_Vasoconstrictor Agents,0.009838822
categorical__Drug_Class_Hypoglycemic Agents,0.009711557
categorical__Target_Protein_UniProt_P04818,0.009646961
categorical__Drug_Class_Anti-Inflammatory Agents,0.009595752
categorical__Target_Protein_UniProt_P20648,0.009576708
"categorical__Drug_Class_Anesthetics, Local",0.009198872
"categorical__Drug_Class_Antineoplastic Agents, Hormonal",0.009162385
categorical__Current_Use_Diarrhoea predominant irritable bowel syndrome,0.008908462
"categorical__Current_Use_Diabetes Mellitus, Non-Insulin-Dependent",0.008775856
categorical__Drug_Class_Anti-Infective Agents,0.00876596
categorical__Target_Protein_UniProt_P35372; P41143; P41145,0.008572333
categorical__Current_Use_Schizophrenia,0.008503458
categorical__Target_Protein_UniProt_P25021,0.008282002
categorical__Drug_Class_Sympathomimetics,0.0081085265
categorical__Target_Protein_UniProt_P04035,0.008084027
categorical__Drug_Class_Antitubercular Agents,0.007988512
categorical__Drug_Class_Antifungal Agents,0.0077677644
categorical__Current_Use_HIV Infections,0.007765158
categorical__Target_Protein_UniProt_P10275,0.007763136
categorical__Target_Protein_UniProt_P30536,0.007605069
categorical__Current_Use_Chronic Lymphocytic Leukemia,0.00756573
categorical__Current_Use_Migraine Disorders,0.0075491727
